ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_referrer,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label
1556360709,192.168.1.35,45615,192.168.1.1,53,udp,dns,0.008067,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556360126,192.168.1.35,33136,192.168.1.1,53,udp,dns,0.00421,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556362059,192.168.1.35,45453,192.168.1.1,53,udp,dns,0.009047,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556361059,192.168.1.39,55325,192.168.1.1,53,udp,dns,0.005388,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556362383,192.168.1.35,44760,18.194.169.124,80,tcp,http,0.685944,414,66,SF,0,5,682,5,334,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556355468,192.168.1.39,39208,192.168.1.190,80,tcp,http,0.032109,2821,1391,SF,0,7,3193,4,1607,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556354176,192.168.1.35,52877,192.168.1.1,53,udp,dns,0.00409,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556360355,192.168.1.35,60790,192.168.1.1,53,udp,dns,0.004099,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556361244,192.168.1.35,35870,192.168.1.1,53,udp,dns,0.006966,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556362461,192.168.1.35,46490,192.168.1.190,80,tcp,http,0.048897,478,520,SF,0,6,798,4,736,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
